"Rank","Root Domain","Linking Root Domains","Domain 
"420","focus.de","149,205","92"
"421","thehill.com","222,287","92"
"422","google.com.au","219,009","92"
"423","ovh.co.uk","395,405","92"
"424","trustpilot.com","407,612","92"
"425","umich.edu","343,282","92"
"426","greenpeace.org","188,471","92"
"427","pnas.org","221,160","92"
"428","si.edu","286,077","92"
"429","www.livejournal.com","3,006,466","92"
"430","channel4.com","168,571","92"
"431","mystrikingly.com","349,421","92"
"432","thefreedictionary.com","251,278","92"
"433","goo.ne.jp","323,852","92"
"434","dell.com","241,538","92"
"435","sagepub.com","328,956","92"
"436","marriott.com","374,685","92"
"437","groups.yahoo.com","313,496","92"
"438","usgs.gov","232,954","92"
"439","pcmag.com","279,449","92"
"440","psu.edu","316,464","92"
"441","ftc.gov","263,270","92"
"442","elsevier.com","292,020","92"
"443","123rf.com","227,568","92"
"444","amazon.ca","229,686","92"
"445","scientificamerican.com","320,931","92"
"446","house.gov","284,965","92"
"447","alter.com","263,650","92"
"448","giphy.com","428,648","92"
"449","tabelog.com","149,575","92"
"450","zeit.de","179,367","92"
"451","bp3.blogger.com","552,272","92"
"452","sports.yahoo.com","218,459","92"
"453","fifa.com","169,139","92"
"454","java.com","148,089","92"
"455","mercurynews.com","209,774","92"
"456","fortune.com","266,450","92"
"457","liveinternet.ru","338,641","92"
"458","prnewswire.com","419,873","92"
"459","epa.gov","348,370","92"
"460","last.fm","440,788","92"
"461","gfycat.com","133,439","92"
"462","indiegogo.com","260,027","92"
"463","newscientist.com","227,418","92"
"464","digg.com","841,291","92"
"465","tes.com","414,734","92"
"466","yale.edu","324,500","92"
"467","rfi.fr","127,299","92"
"468","corriere.it","176,821","92"
"469","wn.com","214,460","92"
"470","theconversation.com","309,873","92"
"471","irs.gov","294,379","92"
"472","dot.tk","9,902,115","92"
"473","nhk.or.jp","236,676","92"
"474","dictionary.com","327,351","92"
"475","airbnb.com","211,812","92"
"476","salon.com","276,872","92"
"477","boston.com","322,327","92"
"478","sina.com.cn","1,017,549","92"
"479","merriam-webster.com","297,032","92"
"480","cbslocal.com","352,350","92"
"481","mixcloud.com","219,723","92"
"482","techradar.com","166,641","92"
"483","mailchimp.com","367,092","92"
"484","utexas.edu","270,038","92"
"485","imgur.com","1,380,238","92"
"486","nifty.com","216,064","92"
"487","howstuffworks.com","307,473","92"
"488","usda.gov","394,294","92"
"489","ads.google.com","148,000","92"
"490","asus.com","157,571","92"
"491","pewresearch.org","279,282","92"
"492","narod.ru","274,835","92"
"493","intel.com","248,026","92"
"494","xda-developers.com","144,936","92"
"495","oecd.org","199,984","92"
"496","ndtv.com","204,234","92"
"497","digitaltrends.com","228,704","92"
"498","bustle.com","186,814","92"
"499","stores.jp","424,814","92"
"500","entrepreneur.com","287,124","92"
